iter	RMSE
0	1441.25898
1	1396.215362
2	1353.643372
3	1313.534742
4	1274.422025
5	1237.160138
6	1202.168888
7	1169.126892
8	1137.644607
9	1107.140364
10	1078.61185
11	1051.247953
12	1025.541414
13	1000.302099
14	976.9167081
15	954.6987968
16	933.148944
17	913.235708
18	894.3099525
19	876.1749324
20	859.0699324
21	842.7839652
22	827.7397769
23	813.934561
24	800.564209
25	787.4757356
26	775.575146
27	764.1660935
28	753.6154459
29	743.7344916
30	734.1494139
31	725.0205852
32	716.7976847
33	708.9338404
34	701.6647234
35	694.6831089
36	688.4102837
37	682.4158495
38	677.0183621
39	671.6218868
40	666.7980777
41	662.1396203
42	657.6428212
43	653.6261752
44	649.7689899
45	646.1976661
46	642.8135284
47	639.867617
48	636.9233841
49	634.1513057
50	631.5786196
51	629.1652157
52	626.8675902
53	624.7753157
54	622.8551956
55	620.9646454
56	619.2279526
57	617.6158628
58	616.0554329
59	614.61553
60	613.27581
61	611.981003
62	610.8747349
63	609.8401325
64	608.727466
65	607.745163
66	606.7720895
67	605.8382359
68	604.9430892
69	604.1449599
70	603.4251832
71	602.7116325
72	602.1030865
73	601.5076455
74	600.9621653
75	600.4510797
76	599.9472795
77	599.3673361
78	598.8268514
79	598.3934272
80	597.9356339
81	597.4883219
82	597.0877862
83	596.7200957
84	596.3787062
85	596.0646498
86	595.7370977
87	595.451784
88	595.142457
89	594.8543595
90	594.5931185
91	594.2511796
92	593.9972357
93	593.7561853
94	593.5187293
95	593.2545091
96	593.0412441
97	592.8135232
98	592.4765748
99	592.2508326
100	591.9780393
101	591.7873289
102	591.5891838
103	591.459074
104	591.2519353
105	591.0918002
106	590.9388601
107	590.8240207
108	590.6450635
109	590.4214061
110	590.2740557
111	590.135803
112	589.7143021
113	589.5457242
114	589.4079023
115	589.1422301
116	588.8811811
117	588.6665828
118	588.4611321
119	588.3212314
120	588.1396733
121	588.0679639
122	587.9552721
123	587.8127832
124	587.6985373
125	587.6361946
126	587.5417182
127	587.396216
128	587.1930541
129	587.0524495
130	586.9890788
131	586.9019863
132	586.8228121
133	586.7383234
134	586.6026891
135	586.4744953
136	586.283706
137	586.1989764
138	586.0731396
