iter	Passed	Remaining
0	40	32438
1	91	36393
2	155	41280
3	211	42096
4	271	43117
5	333	44148
6	405	45962
7	464	46008
8	534	46976
9	603	47675
10	674	48365
11	742	48766
12	817	49490
13	874	49100
14	932	48819
15	986	48341
16	1041	47977
17	1104	47979
18	1150	47308
19	1192	46522
20	1245	46198
21	1312	46419
22	1379	46596
23	1443	46665
24	1502	46591
25	1566	46630
26	1635	46810
27	1707	47073
28	1776	47234
29	1844	47336
30	1912	47443
31	1984	47616
32	2053	47738
33	2116	47686
34	2186	47798
35	2257	47911
36	2321	47881
37	2388	47888
38	2456	47931
39	2519	47867
40	2598	48096
41	2677	48320
42	2739	48233
43	2807	48230
44	2873	48210
45	2935	48116
46	3000	48067
47	3065	48018
48	3135	48060
49	3198	47970
50	3267	47993
51	3331	47921
52	3394	47846
53	3454	47729
54	3521	47706
55	3587	47662
56	3645	47515
57	3714	47520
58	3778	47458
59	3835	47308
60	3907	47337
61	3965	47205
62	4039	47254
63	4087	47009
64	4141	46834
65	4212	46845
66	4324	47315
67	4391	47277
68	4446	47107
69	4549	47448
70	4627	47510
71	4708	47603
72	4797	47775
73	4874	47826
74	4962	47968
75	5023	47859
76	5086	47757
77	5161	47772
78	5235	47782
79	5307	47770
80	5387	47824
81	5465	47855
82	5541	47871
83	5625	47950
84	5696	47918
85	5769	47897
86	5837	47841
87	5919	47897
88	5997	47909
89	6082	47985
90	6147	47899
91	6213	47820
92	6293	47846
93	6375	47886
94	6440	47794
95	6506	47716
96	6578	47676
97	6644	47595
98	6717	47562
99	6793	47552
100	6866	47522
101	6940	47494
102	7006	47411
103	7064	47280
104	7136	47239
105	7204	47166
106	7286	47194
107	7366	47199
108	7444	47193
109	7513	47127
110	7583	47074
111	7662	47070
112	7752	47132
113	7821	47064
114	7900	47057
115	7961	46946
116	8028	46864
117	8094	46784
118	8179	46809
119	8249	46745
120	8318	46678
121	8385	46600
122	8453	46526
123	8519	46447
124	8584	46356
125	8655	46300
126	8725	46237
127	8787	46133
128	8850	46035
129	8910	45922
130	8961	45766
131	9015	45621
132	9071	45495
133	9130	45382
134	9194	45289
135	9258	45204
136	9333	45168
137	9391	45054
138	9452	44950
139	9515	44857
140	9591	44830
141	9649	44716
142	9697	44555
143	9771	44514
144	9821	44364
145	9872	44222
146	9928	44105
147	9990	44010
148	10059	43952
149	10119	43853
150	10172	43722
151	10237	43644
152	10293	43528
153	10357	43446
154	10417	43348
155	10485	43286
156	10551	43212
157	10610	43112
158	10667	43005
159	10727	42908
160	10785	42805
161	10840	42691
162	10899	42595
163	10978	42575
164	11045	42509
165	11105	42414
166	11175	42361
167	11229	42245
168	11287	42145
169	11344	42040
170	11400	41936
171	11470	41879
172	11529	41786
173	11588	41692
174	11646	41593
175	11700	41483
176	11751	41360
177	11816	41291
178	11884	41229
179	11955	41179
180	12019	41104
181	12055	40936
182	12113	40840
183	12167	40733
184	12211	40596
185	12269	40501
186	12333	40428
187	12400	40367
188	12460	40281
189	12503	40144
190	12563	40059
191	12622	39971
192	12679	39877
193	12733	39775
194	12796	39701
195	12864	39642
196	12931	39581
197	12980	39464
198	13022	39330
199	13065	39195
200	13104	39054
201	13145	38917
202	13206	38839
203	13274	38783
204	13345	38735
205	13404	38652
206	13461	38563
207	13514	38463
208	13570	38374
209	13634	38307
210	13706	38260
211	13776	38209
212	13865	38211
213	13907	38082
214	13996	38082
215	14065	38028
216	14141	37993
217	14199	37909
218	14258	37826
219	14314	37738
220	14376	37664
221	14455	37635
222	14529	37595
223	14627	37613
224	14710	37592
225	14795	37579
226	14855	37498
227	14920	37433
228	14992	37382
229	15063	37331
230	15125	37258
231	15188	37184
232	15261	37138
233	15328	37075
234	15387	36994
235	15454	36933
236	15539	36915
237	15627	36902
238	15692	36834
239	15721	36684
240	15782	36607
241	15855	36559
242	15923	36498
243	15998	36455
244	16089	36447
245	16167	36409
246	16216	36307
247	16290	36259
248	16355	36193
249	16420	36125
250	16505	36101
251	16585	36067
252	16651	36001
253	16714	35930
254	16789	35884
255	16868	35845
256	16948	35808
257	17024	35764
258	17098	35714
259	17176	35673
260	17234	35592
261	17299	35524
262	17373	35474
263	17452	35434
264	17529	35389
265	17614	35360
266	17703	35340
267	17762	35260
268	17811	35159
269	17865	35069
270	17932	35004
271	17992	34926
272	18040	34824
273	18095	34737
274	18154	34659
275	18207	34568
276	18246	34450
277	18299	34361
278	18371	34305
279	18432	34231
280	18487	34146
281	18517	34014
282	18570	33926
283	18629	33848
284	18694	33780
285	18754	33705
286	18812	33626
287	18886	33576
288	18946	33499
289	18985	33388
290	19047	33316
291	19112	33250
292	19174	33179
293	19245	33122
294	19319	33071
295	19397	33027
296	19475	32983
297	19546	32927
298	19620	32875
299	19687	32812
300	19745	32734
301	19803	32656
302	19870	32592
303	19906	32479
304	19964	32401
305	20020	32320
306	20086	32256
307	20145	32181
308	20208	32111
309	20273	32045
310	20334	31973
311	20410	31923
312	20471	31851
313	20526	31770
314	20593	31707
315	20661	31645
316	20721	31572
317	20787	31507
318	20853	31443
319	20907	31360
320	20952	31266
321	20988	31157
322	21030	31057
323	21086	30979
324	21147	30908
325	21194	30816
326	21247	30733
327	21314	30671
328	21371	30595
329	21428	30519
330	21500	30464
331	21562	30395
332	21620	30320
333	21664	30226
334	21720	30149
335	21786	30085
336	21846	30014
337	21897	29930
338	21963	29867
339	22026	29800
340	22083	29725
341	22120	29623
342	22152	29515
343	22204	29433
344	22247	29340
345	22300	29261
346	22361	29192
347	22421	29122
348	22482	29053
349	22539	28979
350	22588	28895
351	22636	28810
352	22676	28714
353	22718	28622
354	22758	28528
355	22803	28439
356	22856	28361
357	22920	28298
358	22981	28231
359	23035	28154
360	23084	28072
361	23143	28002
362	23193	27921
363	23249	27848
364	23312	27782
365	23370	27712
366	23433	27647
367	23491	27577
368	23553	27510
369	23605	27433
370	23672	27372
371	23736	27309
372	23807	27253
373	23861	27178
374	23943	27135
375	24006	27071
376	24073	27010
377	24187	27003
378	24258	26946
379	24325	26886
380	24380	26812
381	24481	26788
382	24558	26738
383	24625	26678
384	24692	26616
385	24775	26572
386	24840	26508
387	24911	26452
388	24974	26386
389	25052	26337
390	25125	26282
391	25198	26226
392	25264	26164
393	25339	26110
394	25409	26053
395	25482	25997
396	25570	25956
397	25643	25900
398	25706	25834
399	25773	25773
400	25842	25713
401	25916	25658
402	25976	25590
403	26039	25523
404	26113	25468
405	26190	25416
406	26250	25347
407	26319	25287
408	26396	25235
409	26478	25186
410	26560	25139
411	26620	25069
412	26685	25005
413	26737	24928
414	26828	24889
415	26885	24817
416	26958	24760
417	27038	24709
418	27115	24656
419	27179	24590
420	27247	24529
421	27315	24467
422	27382	24404
423	27449	24341
424	27516	24279
425	27600	24231
426	27674	24174
427	27718	24092
428	27775	24020
429	27823	23941
430	27901	23887
431	27977	23832
432	28052	23776
433	28119	23713
434	28186	23650
435	28271	23602
436	28357	23555
437	28423	23491
438	28473	23414
439	28528	23341
440	28592	23275
441	28658	23212
442	28731	23154
443	28809	23099
444	28885	23043
445	28954	22981
446	29034	22928
447	29090	22857
448	29154	22791
449	29212	22720
450	29288	22664
451	29368	22610
452	29431	22544
453	29509	22489
454	29572	22423
455	29647	22365
456	29701	22292
457	29757	22220
458	29825	22158
459	29888	22091
460	29949	22023
461	30009	21955
462	30062	21881
463	30129	21818
464	30200	21757
465	30276	21700
466	30332	21629
467	30399	21565
468	30467	21502
469	30534	21439
470	30587	21366
471	30664	21309
472	30738	21250
473	30805	21186
474	30867	21119
475	30932	21054
476	30994	20987
477	31063	20925
478	31139	20867
479	31207	20805
480	31269	20737
481	31339	20676
482	31403	20610
483	31461	20541
484	31523	20473
485	31581	20404
486	31653	20344
487	31717	20278
488	31763	20201
489	31825	20134
490	31891	20070
491	31949	20000
492	32017	19937
493	32087	19875
494	32150	19809
495	32209	19741
496	32272	19675
497	32334	19608
498	32384	19534
499	32443	19466
500	32515	19405
501	32581	19341
502	32646	19276
503	32710	19210
504	32772	19144
505	32824	19071
506	32892	19008
507	32963	18947
508	33033	18885
509	33100	18822
510	33169	18759
511	33233	18693
512	33299	18629
513	33356	18560
514	33415	18492
515	33469	18421
516	33516	18346
517	33573	18277
518	33641	18214
519	33685	18138
520	33744	18070
521	33800	18001
522	33892	17950
523	33955	17884
524	33995	17807
525	34049	17736
526	34110	17669
527	34167	17601
528	34243	17542
529	34335	17491
530	34403	17428
531	34471	17365
532	34545	17304
533	34626	17248
534	34707	17191
535	34774	17127
536	34844	17065
537	34917	17004
538	34987	16942
539	35058	16880
540	35126	16816
541	35206	16758
542	35282	16698
543	35364	16641
544	35436	16580
545	35511	16520
546	35590	16461
547	35653	16395
548	35720	16331
549	35795	16270
550	35863	16206
551	35933	16143
552	36004	16081
553	36071	16017
554	36152	15959
555	36228	15898
556	36303	15838
557	36370	15773
558	36426	15704
559	36484	15636
560	36559	15575
561	36645	15518
562	36719	15457
563	36787	15393
564	36846	15325
565	36913	15260
566	36984	15198
567	37064	15139
568	37139	15077
569	37210	15014
570	37276	14949
571	37350	14887
572	37421	14824
573	37493	14762
574	37564	14699
575	37641	14638
576	37713	14575
577	37797	14517
578	37871	14455
579	37941	14391
580	38014	14328
581	38088	14267
582	38158	14203
583	38235	14141
584	38307	14078
585	38376	14014
586	38450	13952
587	38516	13886
588	38580	13820
589	38633	13750
590	38676	13677
591	38722	13605
592	38779	13536
593	38836	13468
594	38891	13399
595	38955	13333
596	39028	13270
597	39088	13203
598	39149	13137
599	39227	13075
600	39306	13014
601	39388	12954
602	39474	12896
603	39551	12834
604	39642	12777
605	39701	12709
606	39777	12647
607	39855	12585
608	39930	12523
609	39994	12457
610	40056	12390
611	40127	12326
612	40200	12263
613	40272	12199
614	40349	12137
615	40416	12072
616	40482	12006
617	40538	11938
618	40586	11867
619	40647	11800
620	40705	11733
621	40760	11664
622	40826	11599
623	40897	11535
624	40958	11468
625	41031	11404
626	41094	11338
627	41139	11267
628	41186	11196
629	41255	11132
630	41322	11067
631	41380	10999
632	41445	10934
633	41518	10870
634	41576	10803
635	41620	10732
636	41686	10666
637	41769	10606
638	41840	10542
639	41910	10477
640	41975	10412
641	42033	10344
642	42095	10278
643	42161	10213
644	42232	10148
645	42301	10084
646	42364	10018
647	42436	9954
648	42499	9888
649	42574	9824
650	42645	9760
651	42721	9697
652	42791	9633
653	42865	9569
654	42933	9504
655	42985	9435
656	43048	9369
657	43110	9303
658	43184	9239
659	43260	9176
660	43324	9110
661	43391	9045
662	43451	8978
663	43520	8913
664	43581	8847
665	43654	8783
666	43725	8718
667	43794	8654
668	43860	8588
669	43923	8522
670	43993	8457
671	44060	8392
672	44122	8326
673	44203	8263
674	44294	8202
675	44378	8140
676	44466	8078
677	44535	8013
678	44617	7950
679	44679	7884
680	44740	7818
681	44805	7752
682	44880	7688
683	44947	7622
684	45006	7555
685	45074	7490
686	45140	7424
687	45197	7357
688	45254	7290
689	45317	7224
690	45382	7158
691	45444	7092
692	45510	7026
693	45583	6962
694	45649	6896
695	45716	6831
696	45778	6765
697	45836	6698
698	45902	6632
699	45973	6567
700	46050	6503
701	46118	6438
702	46180	6372
703	46248	6306
704	46316	6241
705	46378	6175
706	46441	6109
707	46512	6043
708	46574	5977
709	46635	5911
710	46697	5845
711	46765	5779
712	46832	5714
713	46901	5649
714	46986	5585
715	47049	5519
716	47117	5454
717	47183	5388
718	47246	5322
719	47314	5257
720	47379	5191
721	47450	5126
722	47516	5060
723	47575	4994
724	47645	4928
725	47709	4862
726	47780	4797
727	47852	4732
728	47914	4666
729	47983	4601
730	48044	4535
731	48114	4469
732	48176	4403
733	48242	4337
734	48291	4270
735	48359	4205
736	48422	4139
737	48489	4073
738	48550	4007
739	48621	3942
740	48693	3877
741	48760	3811
742	48836	3746
743	48903	3680
744	48968	3615
745	49034	3549
746	49102	3483
747	49179	3418
748	49253	3353
749	49333	3288
750	49414	3224
751	49483	3158
752	49549	3092
753	49613	3026
754	49677	2960
755	49747	2895
756	49803	2829
757	49879	2763
758	49944	2697
759	50013	2632
760	50076	2566
761	50151	2501
762	50227	2435
763	50294	2369
764	50361	2304
765	50428	2238
766	50484	2172
767	50542	2105
768	50606	2040
769	50676	1974
770	50749	1908
771	50806	1842
772	50881	1777
773	50951	1711
774	51018	1645
775	51082	1579
776	51142	1513
777	51219	1448
778	51293	1382
779	51361	1316
780	51426	1251
781	51488	1185
782	51556	1119
783	51624	1053
784	51690	987
785	51754	921
786	51813	855
787	51864	789
788	51914	723
789	51975	657
790	52039	592
791	52105	526
792	52175	460
793	52242	394
794	52299	328
795	52363	263
796	52430	197
797	52495	131
798	52561	65
799	52630	0
