pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,811.17
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,818.48
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,837.48
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,829.58
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,828.12
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,826.2
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,832.41
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,826.75
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,831.43
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,836.14
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,831.86
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,834.92
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,831.42
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,837.2
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,833.78
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,838.42
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,845.01
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,838.66
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,836.57
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,835.75
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,840.97
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,838.18
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,842.39
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,848.15
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,841.17
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,840.63
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,839.34
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,846.23
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,840.64
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,846.98
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,852.28
